観測所番号 府県番号 地点コード 観測所名 経度 緯度
36307 36 1150 津島 140.7533 37.5600
36342 36 1044 金山 139.5283 37.4733
36361 36 47570 若松 139.9100 37.4883
36391 36 294 船引 140.5767 37.4350
36411 36 295 浪江 140.9650 37.4917
36426 36 297 只見 139.3133 37.3433
36461 36 1386 湖南 140.0900 37.3883
36476 36 299 郡山 140.3300 37.3683
36501 36 1129 川内 140.8083 37.3367
36511 36 300 富岡 141.0167 37.3467
36536 36 301 南郷 139.5367 37.2650
36562 36 1294 湯本 140.0633 37.2767
36571 36 1268 長沼 140.2183 37.2883
36581 36 1466 玉川 140.4267 37.2267
36591 36 304 小野新町 140.6250 37.2867
36596 36 1274 川前 140.7500 37.2067
36611 36 1034 広野 141.0000 37.2333
36641 36 303 田島 139.7950 37.2067
36667 36 47597 白河 140.2150 37.1317
36676 36 307 石川 140.4600 37.1467
36716 36 1295 桧枝岐 139.3867 37.0233
36726 36 1269 舘岩 139.5317 37.0917
36766 36 1634 古殿 140.5600 37.0900
36781 36 310 平 140.8767 37.0650
36821 36 312 東白川 140.4083 36.9383
36836 36 1607 山田 140.7333 36.9333
36846 36 47598 小名浜 140.9033 36.9467
40041 40 314 花園 140.6367 36.8683
40046 40 315 北茨城 140.7717 36.8417
40061 40 316 大子 140.3450 36.7783
40066 40 1173 徳田 140.4817 36.7783
40076 40 1421 大能 140.5917 36.7433
40081 40 1635 高萩 140.7183 36.7067
40091 40 1331 常陸大宮 140.3250 36.6067
40126 40 1170 中野 140.4733 36.5150
40136 40 1011 日立 140.6500 36.5983
40181 40 1388 門井 140.0333 36.3333
40191 40 318 笠間 140.2367 36.3833
40201 40 47629 水戸 140.4667 36.3800
40221 40 320 古河 139.7167 36.2017
40231 40 1530 下館 139.9883 36.2817
40241 40 1012 柿岡 140.1883 36.2333
40251 40 1013 美野里 140.3250 36.2367
40281 40 322 下妻 139.9450 36.1683
40311 40 1245 鉾田 140.5267 36.1683
40326 40 323 坂東 139.8933 36.0350
40336 40 47646 つくば 140.1250 36.0567
40341 40 324 土浦 140.2200 36.1033
40391 40 911 江戸崎 140.3200 35.9600
40406 40 325 鹿嶋 140.6217 35.9633
40426 40 1014 龍ケ崎 140.2117 35.8900
41011 41 326 那須 140.0350 37.1233
41076 41 1015 五十里 139.6950 36.9217
41091 41 329 黒磯 140.0183 36.9817
41116 41 1221 土呂部 139.5683 36.8933
41141 41 331 大田原 140.0350 36.8400
41166 41 47690 奥日光 139.5000 36.7383
41171 41 1333 今市 139.6767 36.7267
41181 41 1334 塩谷 139.8833 36.7567
41211 41 1016 足尾 139.4483 36.6467
41241 41 334 高根沢 139.9983 36.6067
41247 41 1605 那須烏山 140.1167 36.6417
41271 41 335 鹿沼 139.7350 36.5917
41277 41 47615 宇都宮 139.8683 36.5483
41311 41 337 葛生 139.5900 36.4333
41331 41 338 真岡 139.9867 36.4783
41356 41 339 足利 139.4733 36.3017
41361 41 1018 佐野 139.5700 36.3633
41371 41 340 栃木 139.7033 36.3733
41376 41 341 小山 139.8300 36.3383
42046 42 1222 藤原 139.0583 36.8633
42091 42 1019 みなかみ 138.9917 36.8000
42106 42 1174 片品 139.2383 36.7717
42121 42 343 草津 138.5917 36.6167
42146 42 346 沼田 139.0600 36.6533
42186 42 1020 中之条 138.8500 36.5867
42221 42 348 田代 138.4633 36.4633
42241 42 349 榛名山 138.8733 36.4717
42251 42 47624 前橋 139.0600 36.4050
42261 42 1259 黒保根 139.2833 36.5017
42266 42 351 桐生 139.3450 36.3833
42286 42 353 上里見 138.8950 36.3767
42302 42 1021 伊勢崎 139.1650 36.3317
42326 42 354 西野牧 138.7067 36.2450
42341 42 355 藤岡 139.0733 36.2500
42366 42 356 館林 139.5317 36.2333
42396 42 1223 神流 138.8967 36.1083
43051 43 1009 寄居 139.1833 36.1050
43056 43 47626 熊谷 139.3800 36.1500
43091 43 1182 上吉田 138.9800 36.0533
43121 43 1069 鴻巣 139.5217 36.0650
43126 43 359 久喜 139.6350 36.0867
43151 43 1000 三峰 138.9233 35.9267
43156 43 47641 秩父 139.0733 35.9900
43157 43 1159 浦山 139.0700 35.9200
43162 43 1497 ときがわ 139.2067 35.9900
43171 43 1232 鳩山 139.3350 35.9850
43231 43 362 飯能 139.3217 35.8383
43241 43 363 さいたま 139.5867 35.8750
43256 43 364 越谷 139.7567 35.8833
43266 43 1070 所沢 139.4133 35.7733
44046 44 365 小河内 139.0500 35.7917
44051 44 1180 小沢 139.1233 35.7350
44056 44 1001 青梅 139.3117 35.7883
44076 44 1002 練馬 139.6683 35.7350
44112 44 366 八王子 139.3167 35.6667
44116 44 1133 府中 139.4817 35.6833
44126 44 368 世田谷 139.6200 35.6267
44132 44 47662 東京 139.7600 35.6900
44132 44 47662 東京 139.7517 35.6917
44136 44 370 江戸川臨海 139.8633 35.6383
44166 44 371 羽田 139.7800 35.5533
44172 44 47675 大島 139.3617 34.7483
44173 44 1467 大島北ノ山 139.3600 34.7817
44207 44 1522 新島 139.2683 34.3683
44216 44 1523 神津島 139.1333 34.1883
44226 44 47677 三宅島 139.5217 34.1233
44228 44 1506 三宅坪田 139.5600 34.0733
44262 44 1468 八重見ヶ原 139.7850 33.1150
44263 44 47678 八丈島 139.7783 33.1217
44263 44 47678 八丈島 139.7833 33.1033
44301 44 47971 父島 142.1900 27.0917
